ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,MViolation,MViolation_Time_1,MViolation_Time_2,MViolation_Time_3,MViolation_Time_4,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,Malfunction,Malfunction_time_1,Malfunction_time_2,Malfunction_time_3,Malfunction_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Control1_1_1,Control1_1_2,Control1_2_1,Control1_2_2,Control2_1_1,Control2_1_2,Control2_2_1,Control2_2_2,Control3_1_1,Control3_1_2,Control3_2_1,Control3_2_2,probability_4,morality,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-AgentQuestions,DO-BL-ObjectQuestions,DO-Q-MViolation,DO-Q-Conform,DO-Q-Object_Rel,DO-Q-Agent_rel,LocationLatitude,LocationLongitude,LocationAccuracy
R_2wigimeC4eVq3fK,Default Response Set,Anonymous,,,74.110.110.242,0,10/7/2016 17:31,10/7/2016 17:35,1,1,1,1,1,2.301,11.925,88.537,5,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,1,1,1,99,5,1,33,2,,,,,1,,,Moral norm violation,Object Questions,,Object_Rel|Object_cause,,,1|2,,36.76460266,-76.1989975,-1
R_2rkMCNwOEZy1and,Default Response Set,Anonymous,,,73.152.225.174,0,10/7/2016 17:31,10/7/2016 17:36,1,1,1,1,,,,,,1,0,0,57.242,0,,,,,,2,1,,1,,,,,1,,,1,1,1,,1,1,,1,,26,7,2,43,2,,,,,1,,,Norm conforming,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,38.36849976,-82.42449951,-1
R_8BzEI85BeIED3ep,Default Response Set,Anonymous,,,50.149.85.43,0,10/7/2016 17:33,10/7/2016 17:36,1,1,1,1,,,,,,,,,,,1,0,0,40.984,0,,,,,2,1,,1,1,,,1,1,1,,1,1,1,1,1,10,9,1,19,2,,,,,1,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,2|1,,47.55270386,-122.1479034,-1
R_effIpY4MmML8vM5,Default Response Set,Anonymous,,,208.102.79.230,0,10/7/2016 17:34,10/7/2016 17:36,1,1,1,1,,,,,,1,0,0,58.014,0,,,,,,2,2,1,1,,,,,1,,1,,1,,1,,1,1,1,1,81,9,2,65,2,,,,,1,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,39.2447052,-84.34729767,-1
R_3p5xPsgbCWxM8uM,Default Response Set,Anonymous,,,216.21.207.22,0,10/7/2016 17:35,10/7/2016 17:38,1,1,1,1,1,0,0,28.687,0,,,,,,,,,,,,,,,1,1,1,,1,,,1,1,1,,1,1,1,1,1,68,8,2,36,2,,,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,2|1,,44.26600647,-69.27960205,-1
R_2QSrVbDEarBpzH4,Default Response Set,Anonymous,,,71.51.25.157,0,10/7/2016 17:34,10/7/2016 17:38,1,1,1,1,,,,,,,,,,,1,0,0,70.53,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,100,10,2,58,2,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,1|2,,37.9875946,-78.6085968,-1
R_33rnYsLFosJx7Z0,Default Response Set,Anonymous,,,107.5.88.103,0,10/7/2016 17:33,10/7/2016 17:39,1,1,1,1,,,,,,1,0,0,113.371,0,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,1,1,1,1,71,9,1,26,1,,,,,1,1,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,1|2,,41.8934021,-84.06590271,-1
R_2Eo9IBB5xyVhLYE,Default Response Set,Anonymous,,,98.212.155.169,0,10/7/2016 17:33,10/7/2016 17:39,1,1,1,1,,,,,,,,,,,1,0,0,55.377,0,2,2,,1,,,,,1,1,1,,1,1,1,,1,1,1,1,100,10,2,21,2,,1,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,40.11250305,-88.24259949,-1
R_3kk82e5Ny85x3pD,Default Response Set,Anonymous,,,68.47.8.85,0,10/7/2016 17:36,10/7/2016 17:40,1,1,1,1,,,,,,,,,,,1,0,0,67.809,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,100,10,2,24,2,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,2|1,,44.97590637,-93.21659851,-1
R_tWikJLNXusM8P5f,Default Response Set,Anonymous,,,173.63.177.234,0,10/7/2016 17:26,10/7/2016 17:40,1,1,1,1,,,,,,,,,,,1,7.686,20.256,87.557,4,1,1,,1,,,,,,1,1,,1,1,1,,1,1,1,1,91,9,1,25,,,,,,,1,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,40.84609985,-74.59140015,-1
R_24jgdj5s9ktoIiV,Default Response Set,Anonymous,,,38.86.167.113,0,10/7/2016 17:35,10/7/2016 17:40,1,1,1,1,,,,,,1,0,0,4.092,0,,,,,,2,2,,1,,,,,1,,1,,1,,1,,1,1,,,72,10,1,32,2,,1,,,,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,40.68089294,-73.94629669,-1
R_QlIsnNO6EJGH4vn,Default Response Set,Anonymous,,,50.152.61.40,0,10/7/2016 17:38,10/7/2016 17:42,1,1,1,1,1,0,0,120.989,0,,,,,,,,,,,2,1,,1,,,,,1,,1,,1,,1,,,1,1,1,92,7,2,32,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,39.64779663,-104.9878006,-1
R_2ysloQujyAddtTS,Default Response Set,Anonymous,,,98.213.193.41,0,10/7/2016 17:38,10/7/2016 17:42,1,1,1,1,,,,,,,,,,,1,0,0,75.588,0,1,1,,1,,,,,,1,1,,1,1,1,,1,1,1,1,98,10,1,26,2,,,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,42.34230042,-89.08159637,-1
R_1hRTXnqH0kMINCX,Default Response Set,Anonymous,,,146.115.168.153,0,10/7/2016 17:40,10/7/2016 17:42,1,1,1,1,,,,,,,,,,,1,0,0,30.318,0,,,,,2,1,,1,1,1,1,,1,1,1,,1,1,1,1,,5,1,22,2,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,1|2,,42.36990356,-71.23529816,-1
R_1BPpZ2tWwRCNIV5,Default Response Set,Anonymous,,,47.151.99.149,0,10/7/2016 17:40,10/7/2016 17:42,1,1,1,1,,,,,,1,0,0,37.292,0,,,,,,,,,,2,2,1,1,1,,1,,1,,1,,1,,1,,70,9,2,23,1,,,,,1,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,2|1,,34.23869324,-118.4772034,-1
R_shu40NiO2cZqIeZ,Default Response Set,Anonymous,,,50.161.146.159,0,10/7/2016 17:41,10/7/2016 17:42,1,1,1,1,1,0,0,1.386,0,,,,,,,,,,,1,2,1,,,,,,1,,,1,1,,1,,1,,,1,,5,1,27,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,37.67030334,-121.0168991,-1
R_AFg9Qhf3nKQuP73,Default Response Set,Anonymous,,,73.239.35.38,0,10/7/2016 17:37,10/7/2016 17:42,1,1,1,1,,,,,,,,,,,1,0,0,157.335,0,1,1,1,,,,,,1,,,1,1,,1,,1,,1,,49,9,1,27,2,,,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,47.69430542,-117.4539948,-1
